algorithm,input_file,all_sequences,min_support,frequenct_sequences,time,real_time
SPADE_dfs,bible.spmf,36370,0.1,174,22378,23032
SPADE_bfs,bible.spmf,36370,0.1,174,21612,22361
SPADE_dfs,bible.spmf,36370,0.2,37,21343,21783
SPADE_bfs,bible.spmf,36370,0.2,37,21064,21508
SPADE_dfs,bible.spmf,36370,0.3,15,20518,20850
SPADE_bfs,bible.spmf,36370,0.3,15,22487,23021
