algorithm,input_file,all_sequences,min_support,frequenct_sequences,time,real_time
SPADE_dfs,bible.spmf,36370,0.1,174,21757,22155
SPADE_bfs,bible.spmf,36370,0.1,174,21508,21960
SPADE_dfs,bible.spmf,36370,0.2,37,21069,21442
SPADE_bfs,bible.spmf,36370,0.2,37,21027,21412
SPADE_dfs,bible.spmf,36370,0.3,15,21030,21336
SPADE_bfs,bible.spmf,36370,0.3,15,20976,21273
